Fri Nov 29 23:17:59 2024    profile_output

         10015535 function calls (9984484 primitive calls) in 17.521 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.104    0.013 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\colors.py:1317(_changed)
      402    0.092    0.000    0.104    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\linalg\_linalg.py:1502(eigh)
        1    0.000    0.000    0.104    0.104 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\pyplot.py:2520(clim)
        1    0.000    0.000    0.104    0.104 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\cm.py:478(set_clim)
       24    0.000    0.000    0.104    0.004 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axes\_base.py:73(wrapper)
      202    0.000    0.000    0.097    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\text.py:73(_get_text_metrics_with_cache_impl)
      202    0.002    0.000    0.097    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\backends\backend_agg.py:207(get_text_width_height_descent)
    16/13    0.000    0.000    0.096    0.007 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\colors.py:1289(vmin)
       53    0.001    0.000    0.095    0.002 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:455(__init__)
        6    0.000    0.000    0.093    0.016 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\artist.py:1403(_get_tightbbox_for_layout_only)
      201    0.090    0.000    0.090    0.000 c:\Users\paulg\Desktop\ESR-Simulation\ESR Examples\..\ESR_STM_SpinSimulation.py:222(H_addExchangeInteraction)
        8    0.000    0.000    0.084    0.011 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:2137(set_ticks)
        8    0.000    0.000    0.084    0.010 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:2119(_set_tick_locations)
7752/6599    0.006    0.000    0.083    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\_api\deprecation.py:292(wrapper)
        3    0.000    0.000    0.082    0.027 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\figure.py:586(add_subplot)
        3    0.000    0.000    0.082    0.027 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axes\_base.py:564(__init__)
        1    0.000    0.000    0.082    0.082 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\pyplot.py:2148(xticks)
     1200    0.036    0.000    0.077    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\linalg\_linalg.py:1345(eig)
      771    0.003    0.000    0.073    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\markers.py:220(__init__)
1955/1910    0.016    0.000    0.071    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\artist.py:1173(_update_props)
